job_id,skill,cluster
3757940104,Audiometry,0
3757940104,Hearing Aid Fittings,-1
3757940104,Hearing Tests,-1
3757940104,Telehealth,1
3757940104,Clinical Expertise,2
3757940104,Patient Care,3
3757940104,Inventory Management,4
3757940104,Remote Care,-1
3757940025,Forklifts,5
3757940025,Material handling,6
3757940025,Inbound outbound logistics,-1
3757940025,Shipping regulations,-1
3757940025,Quality records,7
3757940025,Safety standards,8
3757940025,Lean manufacturing,9
3757940025,Material moving equipment,10
3757938019,Engineering management,11
3757938019,Automotive conveyance systems,-1
3757938019,Power transmission,12
3757938019,Motion control products,13
3757938019,Procurement,14
3757938019,Quality control,15
3757938019,Operating methods,-1
3757938019,Project management,16
3757938018,Cook,17
3757938018,Food preparation,18
3757938018,Inventory control,19
3757938018,Culinary arts,20
3757938018,Supervisory experience,21
3757938018,Kitchen staff management,22
3757938018,Recipe preparation,23
3757938018,Food quality control,24
3757937095,AWS,25
3757937095,Cloud Security,26
3757937095,Security Frameworks,27
3757937095,NIST CyberSecurity,28
3757937095,CIS,29
3757937095,CSA,-1
3757937095,AWS Well Architected Framework,-1
3757937095,VPC,-1
3757937095,EC2,25
3757937037,Medical equipment sales,-1
3757937037,Cardiology experience,30
3757937037,Microsoft Office Suite,31
3757937037,Sales experience,32
3757937037,Healthcare sales,-1
3757937037,Customer Centric Selling,-1
3757937037,Integrity Selling skills,-1
3757937037,Clinical data,33
3757937004,Auto Body Technician,-1
3757937004,OEM Industry Standard Guidelines,-1
3757937004,Alldata,-1
3757937004,I CAR,34
3757937004,WOW Operating Way,-1
3757937004,I Car,-1
3757937004,ASE Certifications,35
3757937004,Welding,36
3757936097,Dishwashing,37
3757936097,Kitchen cleaning,38
3757936097,Health and safety standards,8
3757936097,Cleaning supplies,39
3757936097,Customer service skills,40
3757936097,Food preparation,18
3757936097,Utensils,41
3757936097,Equipment cleaning,42
3757936026,Quality Control,24
3757936026,Quality Control Plans,-1
3757936026,Audit,43
3757936026,Commissioning,44
3757936026,Documentation,45
3757936026,Electricians,46
3757936026,Microsoft Excel,31
3757936026,Microsoft Word,31
3757935384,Power distribution design,47
3757935384,Electrical engineering,48
3757935384,Civil engineering,48
3757935384,AutoCAD,49
3757935384,MicroStation,50
3757935384,Route analysis,-1
3757935384,Quality control review,15
3757935384,Infrastructure solutions,-1
3757935381,Data analytics,51
3757935381,Market analysis,52
3757935381,Survey methodologies,53
3757935381,Statistical modeling,54
3757935381,MS Office,31
3757935381,SPSS,55
3757935381,SAS,56
3757935381,Qualitative research,57
3757935111,Natural Language Processing,58
3757935111,Machine Learning,59
3757935111,Deep Learning,60
3757935111,Data Science,51
3757935111,Artificial Intelligence,61
3757935111,Project Management,62
3757935111,Quality Assurance,24
3757935111,Team Management,63
3757935026,Public Health,64
3757935026,Clinical,3
3757935026,Sexual Health,-1
3757935026,Reproductive Health,-1
3757935026,Cancer Screenings,-1
3757935026,STD,-1
3757935026,Prescribing Medications,65
3757935026,Laboratory Tests,66
3757935025,Doctor of Veterinary degree,-1
3757935025,Veterinary State License,-1
